Term,Frequency
reps,1152
exercise,1111
performed,950
body,905
muscles,705
movement,525
focused,445
part,442
high,424
strength,423
targeting,374
workout,373
targets,350
core,349
lower,341
muscle,339
upper,331
time,326
popular,325
moderate,320
set,316
press,306
shoulder,304
arm,294
chest,282
training,279
dumbbell,266
leg,259
bodyweight,250
machine,243
triceps,241
bench,238
single,229
barbell,223
building,222
cable,218
shoulders,215
squat,211
curl,204
weight,200
glutes,197
rep,195
push,193
biceps,191
hamstrings,174
circuit,168
bar,168
portion,163
variation,161
pull,158
position,157
kettlebell,144
side,143
higher,140
deadlift,138
grip,135
warm,135
dynamic,133
raise,133
work,130
used,128
ball,125
full,122
standing,119
build,119
quads,118
involves,118
seated,117
using,117
power,114
row,113
crunch,100
front,99
done,98
ranges,96
move,95
workouts,95
low,94
incline,93
band,93
plank,92
target,90
classic,90
explosive,90
floor,89
fat,88
rear,88
hands,88
loss,87
isolation,87
traditional,87
including,86
conditioning,86
abdominal,86
rectus,85
pack,85
lunge,84
legs,84
many,84
stretch,83
motion,82
perform,82
accessory,81
hips,80
straight,80
hip,79
lying,78
difficult,75
challenge,75
bent,74
stack,74
deltoids,73
lats,73
performing,72
overhead,71
based,71
variations,70
common,70
knees,69
feet,69
different,69
great,68
smith,68
similar,67
jump,67
mobility,66
lifters,65
trained,64
arms,64
reverse,63
abdominis,63
lateral,60
alternating,60
fly,60
head,60
lift,59
knee,59
calf,59
range,58
particular,58
cardiovascular,58
obliques,58
style,57
way,57
version,56
latissimus,55
challenging,54
dumbbells,54
ups,54
sit,53
works,53
wide,53
stability,53
traps,53
allows,53
athleticism,52
light,52
help,51
crawl,51
extension,51
weights,51
lat,50
combines,50
advanced,49
weighted,49
ground,49
back,49
rope,48
focus,47
holding,47
balance,47
builds,47
squats,46
abs,46
movements,46
groups,46
top,45
joint,45
plate,45
helps,44
compound,44
hold,43
clean,43
effective,43
resistance,43
least,42
medicine,42
upright,42
dorsi,41
overall,41
heavy,41
combination,41
emphasis,40
simple,40
deltoid,39
pressing,39
size,39
pectoral,38
uses,38
elevated,38
partner,38
complex,37
activation,37
use,37
athletes,36
hanging,36
fitness,36
posterior,36
torso,36
makes,36
rhomboids,35
decline,35
abdominals,35
deep,34
legged,34
twist,34
angle,33
cross,33
chain,33
system,33
stance,33
bigger,33
people,33
glute,33
increase,33
working,32
placed,32
day,32
degree,31
gyms,31
sequence,31
palms,31
making,31
jumping,31
adds,31
presses,31
quadriceps,30
