Unnamed: 0,Title,Desc,Type,BodyPart,Equipment,Level,Rating,RatingDesc,processed_description,exercise_type,muscle_group,equipment,difficulty,key_fitness_terms
0,Partner plank band row,The partner plank band row is an abdominal exercise where two partners perform single-arm planks while pulling on the opposite ends of an exercise band. This technique can be done for time or reps in any ab-focused workout.,Strength,Abdominals,Bands,Intermediate,0.0,,partner plank band row abdominal exercise two partners perform single arm planks pulling opposite ends exercise band technique done time reps ab focused workout,Strength,Abdominals,Bands,Intermediate,"['plank', 'band', 'row', 'abdominal', 'exercise', 'single', 'arm', 'exercise', 'band', 'done', 'time', 'reps', 'focused', 'workout']"
1,Banded crunch isometric hold,"The banded crunch isometric hold is an exercise targeting the abdominal muscles, particularly the rectus abdominis or ""six-pack"" muscles. The band adds resistance and continuous tension to this popular exercise.",Strength,Abdominals,Bands,Intermediate,,,banded crunch isometric hold exercise targeting abdominal muscles particularly rectus abdominis six pack muscles band adds resistance continuous tension popular exercise,Strength,Abdominals,Bands,Intermediate,"['crunch', 'exercise', 'targeting', 'abdominal', 'muscles', 'rectus', 'pack', 'muscles', 'band', 'popular', 'exercise']"
2,FYR Banded Plank Jack,"The banded plank jack is a variation on the plank that involves moving the legs in and out for repetitions. Having a band around the thighs forces the lower body to work harder, particularly the hips and glutes. The plank jack is commonly performed as part of a bodyweight circuit, or as part of a dynamic warm-up.",Strength,Abdominals,Bands,Intermediate,,,banded plank jack variation plank involves moving legs repetitions band around thighs forces lower body work harder particularly hips glutes plank jack commonly performed part bodyweight circuit part dynamic warm,Strength,Abdominals,Bands,Intermediate,"['plank', 'variation', 'plank', 'involves', 'legs', 'band', 'lower', 'body', 'work', 'glutes', 'plank', 'performed', 'part', 'bodyweight', 'circuit', 'part', 'dynamic', 'warm']"
3,Banded crunch,"The banded crunch is an exercise targeting the abdominal muscles, particularly the rectus abdominis or ""six-pack"" muscles. The band adds resistance and continuous tension to this popular exercise.",Strength,Abdominals,Bands,Intermediate,,,banded crunch exercise targeting abdominal muscles particularly rectus abdominis six pack muscles band adds resistance continuous tension popular exercise,Strength,Abdominals,Bands,Intermediate,"['crunch', 'exercise', 'targeting', 'abdominal', 'muscles', 'rectus', 'pack', 'muscles', 'band', 'popular', 'exercise']"
4,Crunch,"The crunch is a popular core exercise targeting the rectus abdominis, or ""six-pack"" muscles, as well as the obliques. It has been the centerpiece of many ab-focused workouts, due to both its simplicity and the intense burn and mind-muscle connection it produces. It can be performed for time or reps as part of the ab-focused portion of any workout.",Strength,Abdominals,Bands,Intermediate,,,crunch popular core exercise targeting rectus abdominis six pack muscles well obliques centerpiece many ab focused workouts due simplicity intense burn mind muscle connection produces performed time reps part ab focused portion workout,Strength,Abdominals,Bands,Intermediate,"['crunch', 'popular', 'core', 'exercise', 'targeting', 'rectus', 'pack', 'muscles', 'many', 'focused', 'workouts', 'muscle', 'performed', 'time', 'reps', 'part', 'focused', 'portion', 'workout']"
5,Decline band press sit-up,"The decline band press sit-up is a weighted core exercise that works the rectus abdominis or ""six pack"" muscles, as well as the deep core muscles. It also taxes the muscles of the shoulders and upper back. Sit-up variations with added resistance are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.",Strength,Abdominals,Bands,Intermediate,,,decline band press sit weighted core exercise works rectus abdominis six pack muscles well deep core muscles also taxes muscles shoulders upper back sit variations added resistance usually performed moderate high reps 8 12 reps per set part core focused portion workout,Strength,Abdominals,Bands,Intermediate,"['band', 'press', 'core', 'exercise', 'rectus', 'pack', 'muscles', 'core', 'muscles', 'muscles', 'shoulders', 'upper', 'performed', 'moderate', 'high', 'reps', 'reps', 'set', 'part', 'core', 'focused', 'portion', 'workout']"
6,FYR2 Banded Frog Pump,,Strength,Abdominals,Bands,Intermediate,,,,Strength,Abdominals,Bands,Intermediate,[]
7,Band low-to-high twist,"The band low-to-high twist is a core exercise targeting the upper abdominals and the obliques. Take care to perform it with control, as rapid, uncontrolled twisting can injure the spine. It is usually performed for moderate to high reps, at least 8-15 per side, as part of the core-focused portion of a workout.",Strength,Abdominals,Bands,Intermediate,,,band low high twist core exercise targeting upper abdominals obliques take care perform control rapid uncontrolled twisting injure spine usually performed moderate high reps least 8 15 per side part core focused portion workout,Strength,Abdominals,Bands,Intermediate,"['band', 'low', 'high', 'core', 'exercise', 'targeting', 'upper', 'performed', 'moderate', 'high', 'reps', 'side', 'part', 'core', 'focused', 'portion', 'workout']"
8,Barbell roll-out,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.",Strength,Abdominals,Barbell,Intermediate,8.9,Average,barbell roll abdominal exercise utilizes barbell place ab roller best performed barbell rotating collars considered difficult ab roller variations many lifters may able perform single rep first perform reps rewarded seriously strong core,Strength,Abdominals,Barbell,Intermediate,"['barbell', 'abdominal', 'exercise', 'barbell', 'performed', 'barbell', 'many', 'single', 'rep', 'reps', 'core']"
9,Barbell Ab Rollout - On Knees,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.",Strength,Abdominals,Barbell,Intermediate,8.9,Average,barbell roll abdominal exercise utilizes barbell place ab roller best performed barbell rotating collars considered difficult ab roller variations many lifters may able perform single rep first perform reps rewarded seriously strong core,Strength,Abdominals,Barbell,Intermediate,"['barbell', 'abdominal', 'exercise', 'barbell', 'performed', 'barbell', 'many', 'single', 'rep', 'reps', 'core']"
10,Decline bar press sit-up,"The decline bar press sit-up is a weighted core exercise targeting the abdominal muscles, particularly the lower abs. It also challenges the shoulders and upper back to move the weight. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.",Strength,Abdominals,Barbell,Intermediate,8.5,Average,decline bar press sit weighted core exercise targeting abdominal muscles particularly lower abs also challenges shoulders upper back move weight weighted sit variations usually performed moderate high reps 8 12 reps per set part core focused portion workout,Strength,Abdominals,Barbell,Intermediate,"['bar', 'press', 'core', 'exercise', 'targeting', 'abdominal', 'muscles', 'lower', 'shoulders', 'upper', 'move', 'weight', 'performed', 'moderate', 'high', 'reps', 'reps', 'set', 'part', 'core', 'focused', 'portion', 'workout']"
